Unnamed: 0,order_date,order_id,order_datetime,customer_id,courier_id,restaurant_id,order_amount,items_count,distance_km,is_express_delivery,delivery_time_minutes,payment_method,vehicle_type,experience_days,base_skill,base_speed_kmh,courier_rating,on_time_ratio,preferred_payment_method,customer_rating,restaurant_city,cuisine_type,is_fast_food,restaurant_rating,prep_time_avg,traffic_level,is_rush_hour,temperature,precip_mm,wind_speed
79210,2025-03-13,50961,2025-03-13 20:27:00,30102,96,273,2512.49,2,1.09,0,39.5,cash,car,1444,0.9729262897671234,55.0,4.81,0.98,card,4.36,SPB,russian,1,4.42,5,3.0,1,20.6,1.27,19.3
79211,2025-03-13,21122,2025-03-13 20:39:00,17751,288,280,1335.88,2,5.68,0,107.8,sbp,car,928,1.0790602184460076,55.0,4.81,0.91,sbp,4.19,Moscow,burger,0,4.5,31,4.0,1,31.1,1.63,7.1
79212,2025-03-13,46327,2025-03-13 20:45:00,9123,281,178,1894.14,1,3.01,0,63.8,card,car,1788,1.097830102348697,55.0,4.68,0.87,cash,5.0,Moscow,italian,0,4.51,22,4.0,1,31.1,1.63,7.1
79213,2025-03-13,81107,2025-03-13 20:47:00,34946,18,42,4274.77,4,3.91,0,87.6,card,bike,1724,0.9313771029778892,35.76167786475204,4.65,0.87,sbp,4.92,Moscow,russian,0,4.27,27,4.0,1,31.1,1.63,7.1
79214,2025-03-13,77642,2025-03-13 21:02:00,17118,345,212,2947.07,5,5.89,0,107.9,card,bike,787,1.0160686872877107,37.26218109219517,4.68,0.91,card,4.63,Moscow,italian,0,4.33,15,4.0,1,31.1,1.63,7.1
79215,2025-03-13,84899,2025-03-13 21:04:00,22611,193,258,1556.68,1,4.85,0,64.2,sbp,bike,460,1.0381358961785767,36.847051198698445,4.64,0.84,sbp,4.93,SPB,russian,1,4.9,7,3.0,1,20.6,1.27,19.3
79216,2025-03-13,2276,2025-03-13 21:13:00,40544,1,207,3548.51,4,2.14,0,46.5,sbp,car,941,1.058472699001299,55.0,4.5,0.81,card,4.06,Moscow,italian,1,4.42,9,4.0,1,31.1,1.63,7.1
79217,2025-03-13,29244,2025-03-13 21:34:00,8692,160,54,4470.49,6,3.48,0,79.5,cash,car,371,1.0621040299931954,55.0,4.86,0.88,cash,5.0,Moscow,russian,0,4.6,28,4.0,1,31.1,1.63,7.1
79218,2025-03-13,86059,2025-03-13 21:39:00,21140,108,28,1874.32,4,2.35,0,86.6,card,car,1853,0.9397904180142974,55.0,4.93,0.88,card,4.25,SPB,burger,0,4.42,35,3.0,1,20.6,1.27,19.3
79219,2025-03-13,98849,2025-03-13 21:41:00,20412,274,167,2928.49,3,1.43,1,56.7,card,car,637,1.1214309672981018,55.0,4.79,0.92,card,4.72,Moscow,italian,0,4.55,37,4.0,1,31.1,1.63,7.1
79220,2025-03-13,72131,2025-03-13 21:43:00,35446,266,132,2139.61,4,4.69,0,62.3,sbp,car,651,0.9885228395451562,55.0,4.79,0.89,card,4.74,Moscow,burger,1,4.79,12,4.0,1,31.1,1.63,7.1
79221,2025-03-13,17810,2025-03-13 22:00:00,5958,330,37,2791.9,3,2.7,0,51.3,cash,car,1962,1.1814907729419215,55.0,4.53,0.89,card,4.36,Moscow,asian,1,4.27,11,4.0,1,31.1,1.63,7.1
79222,2025-03-13,46949,2025-03-13 22:00:00,6150,99,234,2698.76,3,2.36,0,84.2,card,bike,519,1.121673944254682,40.10929179910456,4.66,0.78,sbp,4.72,Moscow,burger,0,4.06,39,4.0,1,31.1,1.63,7.1
79223,2025-03-13,63903,2025-03-13 22:00:00,16584,391,52,3165.25,3,8.82,0,103.7,card,bike,954,1.067124855517583,39.58581281157731,4.6,0.89,card,4.73,Moscow,burger,1,4.52,5,4.0,1,31.1,1.63,7.1
79224,2025-03-13,96722,2025-03-13 22:12:00,11095,141,65,2603.82,3,1.78,1,60.3,sbp,car,689,0.9467096782594088,55.0,4.53,0.9,cash,4.54,Kazan,russian,0,4.45,34,3.0,1,14.9,1.48,8.5
79225,2025-03-13,20704,2025-03-13 22:22:00,13647,26,144,2202.11,3,3.45,0,65.2,card,scooter,132,0.9661835896074544,43.16043291364058,4.64,0.86,card,4.4,Moscow,italian,0,4.4,17,4.0,1,31.1,1.63,7.1
79226,2025-03-13,34987,2025-03-13 22:30:00,2882,211,138,2666.59,3,5.16,1,103.5,sbp,car,1997,1.0089398548060786,55.0,4.45,0.91,sbp,5.0,Moscow,italian,0,4.73,39,4.0,1,31.1,1.63,7.1
79227,2025-03-13,61065,2025-03-13 22:31:00,39985,333,211,2740.18,2,4.36,1,77.4,sbp,bike,1766,1.0556322780487497,40.58851705937706,4.76,0.87,sbp,4.78,SPB,italian,0,4.64,38,3.0,1,20.6,1.27,19.3
79228,2025-03-13,15440,2025-03-13 22:32:00,7198,57,266,2597.24,3,0.71,0,33.2,card,car,787,1.0741967092035607,55.0,4.39,0.92,sbp,4.85,Moscow,russian,1,4.46,7,4.0,1,31.1,1.63,7.1
79229,2025-03-13,59177,2025-03-13 22:36:00,18505,193,243,2906.8,2,1.03,0,38.2,card,bike,460,1.0381358961785767,36.847051198698445,4.64,0.84,sbp,4.57,Moscow,italian,1,4.86,10,4.0,1,31.1,1.63,7.1
79230,2025-03-13,92122,2025-03-13 22:43:00,140,344,42,1467.12,1,3.33,0,85.9,card,car,600,1.0773845764518772,55.0,4.55,0.94,cash,4.57,Moscow,russian,0,4.27,27,4.0,1,31.1,1.63,7.1
79231,2025-03-13,41430,2025-03-13 23:03:00,22779,325,286,1978.17,3,3.54,0,68.0,sbp,scooter,89,0.7818687709488251,34.01084509779904,4.71,0.89,card,4.45,SPB,russian,0,4.71,20,3.0,1,20.6,1.27,19.3
79232,2025-03-13,17516,2025-03-13 23:07:00,8513,191,4,2585.48,1,0.96,1,21.3,card,scooter,583,0.8583650709155547,42.15405365401788,4.54,0.85,cash,4.23,Moscow,asian,1,4.92,8,4.0,1,31.1,1.63,7.1
79233,2025-03-13,72375,2025-03-13 23:08:00,13224,72,110,1768.93,1,1.95,0,43.2,card,car,69,1.192881305247671,55.0,4.45,0.9,card,4.72,Kazan,asian,1,4.23,7,3.0,1,14.9,1.48,8.5
79234,2025-03-13,14367,2025-03-13 23:31:00,20076,374,98,1448.82,2,1.83,0,39.2,card,car,1052,1.0232690229918973,55.0,4.6,0.79,sbp,4.44,Moscow,asian,1,4.72,6,4.0,1,31.1,1.63,7.1
79235,2025-03-13,17008,2025-03-13 23:34:00,15999,261,4,2072.84,2,1.02,0,46.6,sbp,car,154,1.0813858667712948,55.0,4.65,0.88,card,4.18,Moscow,asian,1,4.92,8,4.0,1,31.1,1.63,7.1
